Origin,   Shake,    Average,    Moving,     IIR
621338,  621603,  621632,  621562,  621595
621283,  621603,  621632,  621598,  621586
621635,  621635,  621632,  621613,  621582
621405,  621405,  621632,  621535,  621580
621423,  621423,  621436,  621534,  621574
621574,  621574,  621436,  621515,  621571
621395,  621603,  621436,  621475,  621568
621717,  621717,  621436,  621471,  621567
621759,  621759,  621611,  621523,  621572
621199,  621603,  621611,  621513,  621569
621717,  621717,  621611,  621523,  621565
621738,  621738,  621611,  621565,  621570
621161,  621603,  621453,  621532,  621566
621341,  621603,  621453,  621503,  621556
621441,  621441,  621453,  621509,  621550
620977,  621603,  621453,  621416,  621539
621612,  621612,  621342,  621398,  621531
621072,  621603,  621342,  621382,  621525
621640,  621640,  621342,  621372,  621519
621773,  621773,  621342,  621377,  621524
621305,  621603,  621447,  621395,  621524
621588,  621588,  621447,  621426,  621521
621728,  621728,  621447,  621461,  621525
621249,  621603,  621447,  621495,  621523
621480,  621480,  621511,  621479,  621518
621622,  621622,  621511,  621548,  621519
621260,  621603,  621511,  621500,  621516
621825,  621603,  621511,  621507,  621516
621778,  621778,  621621,  621566,  621524
621747,  621747,  621621,  621586,  621531
621946,  621603,  621621,  621613,  621540
621633,  621633,  621621,  621661,  621547
621344,  621603,  621667,  621644,  621545
621744,  621744,  621667,  621659,  621544
621610,  621610,  621667,  621703,  621548
621215,  621603,  621667,  621627,  621543
621557,  621557,  621531,  621599,  621538
621337,  621603,  621531,  621548,  621535
621574,  621574,  621531,  621501,  621532
621683,  621683,  621531,  621508,  621535
621202,  621603,  621449,  621490,  621532
621549,  621549,  621449,  621465,  621527
621737,  621737,  621449,  621481,  621530
621255,  621603,  621449,  621486,  621528
622182,  621603,  621680,  621564,  621533
622222,  621603,  621680,  621675,  621553
621374,  621603,  621680,  621650,  621560
621678,  621678,  621680,  621649,  621558
621662,  621662,  621734,  621707,  621561
621166,  621603,  621734,  621659,  621556
621907,  621603,  621734,  621680,  621555
621606,  621606,  621734,  621724,  621561
621049,  621603,  621432,  621583,  621553
621645,  621645,  621432,  621510,  621546
621380,  621603,  621432,  621511,  621544
621395,  621603,  621432,  621476,  621539
621613,  621613,  621508,  621470,  621537
621490,  621490,  621508,  621510,  621537
621401,  621603,  621508,  621447,  621534
621349,  621603,  621508,  621415,  621529
621018,  621603,  621314,  621411,  621518
621148,  621603,  621314,  621349,  621504
621534,  621534,  621314,  621368,  621498
621042,  621603,  621314,  621324,  621491
621434,  621434,  621289,  621302,  621483
621957,  621603,  621289,  621360,  621489
621108,  621603,  621289,  621323,  621490
622058,  621603,  621289,  621412,  621492
621292,  621603,  621603,  621446,  621497
621433,  621433,  621603,  621482,  621492
621744,  621744,  621603,  621508,  621495
621552,  621552,  621603,  621572,  621499
621135,  621603,  621466,  621534,  621494
621914,  621603,  621466,  621529,  621494
621290,  621603,  621466,  621552,  621497
621392,  621603,  621466,  621469,  621492
621734,  621734,  621582,  621524,  621494
621294,  621603,  621582,  621506,  621494
621700,  621700,  621582,  621501,  621494
622055,  621603,  621582,  621564,  621505
621778,  621778,  621706,  621644,  621517
621907,  621603,  621706,  621643,  621527
621731,  621731,  621706,  621698,  621536
621304,  621603,  621706,  621687,  621535
621838,  621603,  621695,  621700,  621536
621680,  621680,  621695,  621749,  621542
621056,  621603,  621695,  621668,  621536
621915,  621603,  621695,  621651,  621534
621713,  621713,  621591,  621643,  621542
621152,  621603,  621591,  621548,  621538
621849,  621603,  621591,  621563,  621536
621592,  621592,  621591,  621599,  621541
621436,  621436,  621507,  621549,  621540
622353,  621603,  621507,  621633,  621551
621847,  621603,  621507,  621732,  621568
621574,  621574,  621507,  621689,  621572
621653,  621653,  621856,  621682,  621573
621451,  621451,  621856,  621719,  621572
621551,  621551,  621856,  621682,  621569
621822,  621603,  621856,  621710,  621572
621295,  621603,  621529,  621693,  621571
621162,  621603,  621529,  621544,  621560
621561,  621561,  621529,  621508,  621553
621051,  621603,  621529,  621443,  621545
621744,  621744,  621379,  621454,  621540
621436,  621436,  621379,  621452,  621541
621207,  621603,  621379,  621409,  621534
621712,  621712,  621379,  621396,  621531
621681,  621681,  621509,  621444,  621536
621169,  621603,  621509,  621445,  621532
621504,  621504,  621509,  621438,  621525
621286,  621603,  621509,  621467,  621520
621087,  621603,  621261,  621385,  621509
622062,  621603,  621261,  621463,  621511
621371,  621603,  621261,  621484,  621517
621407,  621407,  621261,  621445,  621513
622053,  621603,  621723,  621492,  621519
621232,  621603,  621723,  621500,  621522
621470,  621470,  621723,  621496,  621516
621661,  621661,  621723,  621542,  621517
620772,  621603,  621283,  621503,  621507
621163,  621603,  621283,  621391,  621490
621634,  621634,  621283,  621424,  621487
621205,  621603,  621283,  621398,  621484
621450,  621450,  621363,  621323,  621479
621815,  621603,  621363,  621396,  621483
621468,  621468,  621363,  621396,  621487
622041,  621603,  621363,  621443,  621495
621476,  621476,  621700,  621531,  621503
621243,  621603,  621700,  621541,  621498
621633,  621633,  621700,  621541,  621496
621418,  621418,  621700,  621568,  621496
621333,  621603,  621406,  621553,  621492
621707,  621707,  621406,  621539,  621492
621637,  621637,  621406,  621561,  621497
621317,  621603,  621406,  621470,  621496
621443,  621443,  621526,  621466,  621492
621194,  621603,  621526,  621460,  621486
621578,  621578,  621526,  621453,  621482
621881,  621603,  621526,  621511,  621489
620977,  621603,  621407,  621466,  621487
621484,  621484,  621407,  621438,  621478
621538,  621538,  621407,  621426,  621479
621400,  621603,  621407,  621436,  621478
621915,  621603,  621584,  621495,  621483
621245,  621603,  621584,  621502,  621486
620796,  621603,  621584,  621404,  621471
621676,  621676,  621584,  621378,  621463
621863,  621603,  621395,  621489,  621472
620930,  621603,  621395,  621420,  621469
621861,  621603,  621395,  621460,  621466
621577,  621577,  621395,  621482,  621473
621396,  621603,  621441,  621418,  621473
621845,  621603,  621441,  621493,  621477
621293,  621603,  621441,  621555,  621479
621308,  621603,  621441,  621509,  621473
621775,  621775,  621555,  621498,  621475
621455,  621455,  621555,  621563,  621479
621314,  621603,  621555,  621495,  621476
621880,  621603,  621555,  621533,  621479
621364,  621603,  621503,  621529,  621483
621489,  621489,  621503,  621484,  621481
621541,  621541,  621503,  621515,  621482
621195,  621603,  621503,  621501,  621478
621694,  621694,  621479,  621491,  621476
621804,  621603,  621479,  621535,  621484
621213,  621603,  621479,  621522,  621484
621443,  621443,  621479,  621467,  621479
621512,  621512,  621493,  621486,  621478
621506,  621506,  621493,  621488,  621478
621862,  621603,  621493,  621528,  621484
621608,  621608,  621493,  621580,  621491
621371,  621603,  621586,  621539,  621490
622023,  621603,  621586,  621567,  621496
621381,  621603,  621586,  621588,  621502
621693,  621693,  621586,  621619,  621503
621603,  621603,  621675,  621630,  621507
621577,  621577,  621675,  621639,  621509
621355,  621603,  621675,  621576,  621507
621665,  621665,  621675,  621583,  621507
621385,  621603,  621495,  621585,  621507
621383,  621603,  621495,  621505,  621503
621595,  621595,  621495,  621532,  621502
621522,  621522,  621495,  621510,  621503
621689,  621689,  621547,  621521,  621506
621809,  621603,  621547,  621550,  621513
621388,  621603,  621547,  621554,  621515
621596,  621596,  621547,  621545,  621514
621435,  621435,  621557,  621552,  621514
621202,  621603,  621557,  621529,  621507
622023,  621603,  621557,  621583,  621510
621546,  621546,  621557,  621586,  621518
621419,  621419,  621547,  621552,  621516
621995,  621603,  621547,  621575,  621521
621478,  621478,  621547,  621586,  621527
621335,  621603,  621547,  621554,  621523
